booking_id,booking_date,checkin_date,checkout_date,hotel_id,room_nights_booked,booking_status,booking_channel,base_price,discount_amount,final_price_paid
26,2024-06-26,2024-06-26,2024-06-27,1,46,Completed,App,4787.74,823.96,3963.79
27,2024-06-27,2024-06-27,2024-06-28,1,56,Cancelled,App,4610.79,449.39,4161.4
28,2024-06-28,2024-06-28,2024-06-29,1,74,Completed,Web,7375.01,1217.71,6157.3
29,2024-06-29,2024-06-29,2024-06-30,1,63,Completed,App,5426.24,636.83,4789.41
30,2024-06-30,2024-06-30,2024-07-03,1,59,Completed,App,7300.84,1243.08,6057.76
31,2024-07-01,2024-07-01,2024-07-03,1,68,Completed,Walk-In,5572.14,229.23,5342.91
32,2024-07-02,2024-07-02,2024-07-03,1,60,Completed,Walk-In,5455.75,181.96,5273.8
33,2024-07-03,2024-07-03,2024-07-06,1,58,Completed,App,5093.75,890.83,4202.93
34,2024-07-04,2024-07-04,2024-07-06,1,60,Completed,Web,6108.78,814.13,5294.65
35,2024-07-05,2024-07-05,2024-07-06,1,66,Completed,App,5621.76,795.13,4826.63
36,2024-07-06,2024-07-06,2024-07-08,1,78,Cancelled,OTA Partner,7572.96,693.36,6879.59
37,2024-07-07,2024-07-07,2024-07-08,1,65,Completed,App,6643.28,911.74,5731.54
38,2024-07-08,2024-07-08,2024-07-09,1,61,Completed,OTA Partner,6362.47,823.1,5539.37
39,2024-07-09,2024-07-09,2024-07-10,1,64,Completed,OTA Partner,6296.73,434.08,5862.65
40,2024-07-10,2024-07-10,2024-07-12,1,56,Completed,App,5266.64,805.63,4461.01
41,2024-07-11,2024-07-11,2024-07-12,1,76,Completed,Web,5935.52,1039.43,4896.1
42,2024-07-12,2024-07-12,2024-07-14,1,82,Completed,App,5339.03,669.68,4669.35
43,2024-07-13,2024-07-13,2024-07-16,1,66,Completed,Web,7153.85,651.42,6502.43
44,2024-07-14,2024-07-14,2024-07-15,1,83,Cancelled,OTA Partner,7667.89,732.35,6935.54
45,2024-07-15,2024-07-15,2024-07-18,1,72,Cancelled,App,6053.54,604.27,5449.27
46,2024-07-16,2024-07-16,2024-07-17,1,64,Cancelled,App,5711.85,914.74,4797.11
47,2024-07-17,2024-07-17,2024-07-18,1,70,Completed,OTA Partner,5896.24,311.38,5584.86
48,2024-07-18,2024-07-18,2024-07-19,1,50,Completed,Walk-In,4810.43,282.71,4527.72
49,2024-07-19,2024-07-19,2024-07-21,1,66,Completed,OTA Partner,6764.49,1290.2,5474.29
50,2024-07-20,2024-07-20,2024-07-22,1,63,Completed,App,7160.43,1028.53,6131.9
51,2024-07-21,2024-07-21,2024-07-22,1,67,Completed,Walk-In,5660.32,230.19,5430.12
52,2024-07-22,2024-07-22,2024-07-24,1,60,Completed,App,5355.81,755.7,4600.11
53,2024-07-23,2024-07-23,2024-07-24,1,59,Completed,App,4572.12,557.07,4015.05
54,2024-07-24,2024-07-24,2024-07-26,1,54,Completed,Web,5804.87,647.95,5156.92
55,2024-07-25,2024-07-25,2024-07-28,1,62,Completed,Walk-In,5973.41,423.59,5549.82
56,2024-07-26,2024-07-26,2024-07-28,1,72,Completed,OTA Partner,6476.17,814.47,5661.7
57,2024-07-27,2024-07-27,2024-07-28,1,54,Cancelled,App,6050.79,933.45,5117.34
58,2024-07-28,2024-07-28,2024-07-31,1,69,Cancelled,Walk-In,6171.21,473.17,5698.04
59,2024-07-29,2024-07-29,2024-07-30,1,67,Completed,Walk-In,5781.78,4.96,5776.82
60,2024-07-30,2024-07-30,2024-08-02,1,61,Completed,App,5611.94,919.84,4692.1
61,2024-07-31,2024-07-31,2024-08-01,1,51,Cancelled,Web,6010.66,741.58,5269.08
62,2024-08-01,2024-08-01,2024-08-03,1,51,Cancelled,OTA Partner,4965.7,790.62,4175.09
63,2024-08-02,2024-08-02,2024-08-04,1,72,Completed,App,6841.99,1005.91,5836.08
64,2024-08-03,2024-08-03,2024-08-05,1,54,Completed,Web,6448.87,1011.59,5437.28
65,2024-08-04,2024-08-04,2024-08-05,1,72,Completed,Web,6487.21,863.71,5623.49
66,2024-08-05,2024-08-05,2024-08-08,1,58,Completed,Walk-In,4883.21,9.7,4873.51
67,2024-08-06,2024-08-06,2024-08-08,1,60,Cancelled,Web,5056.04,759.94,4296.1
68,2024-08-07,2024-08-07,2024-08-09,1,60,Completed,OTA Partner,6064.01,351.64,5712.37
69,2024-08-08,2024-08-08,2024-08-10,1,59,Completed,Walk-In,5076.46,297.99,4778.47
70,2024-08-09,2024-08-09,2024-08-12,1,68,Completed,App,7635.87,965.92,6669.96
71,2024-08-10,2024-08-10,2024-08-11,1,70,Completed,App,7492.3,1215.69,6276.61
72,2024-08-11,2024-08-11,2024-08-13,1,69,Completed,App,7135.98,1188.47,5947.51
73,2024-08-12,2024-08-12,2024-08-14,1,68,Completed,App,4509.0,592.77,3916.23
74,2024-08-13,2024-08-13,2024-08-15,1,72,Completed,App,6206.69,682.08,5524.61
75,2024-08-14,2024-08-14,2024-08-17,1,58,Completed,OTA Partner,5183.85,552.19,4631.67
76,2024-08-15,2024-08-15,2024-08-16,1,56,Completed,App,5901.76,823.42,5078.34
77,2024-08-16,2024-08-16,2024-08-17,1,86,Completed,App,5786.67,473.16,5313.51
78,2024-08-17,2024-08-17,2024-08-20,1,75,Completed,Web,6586.42,714.32,5872.1
79,2024-08-18,2024-08-18,2024-08-19,1,65,Completed,OTA Partner,6704.16,475.71,6228.45
80,2024-08-19,2024-08-19,2024-08-20,1,57,Completed,OTA Partner,6083.95,490.9,5593.05
81,2024-08-20,2024-08-20,2024-08-21,1,68,Cancelled,Web,5805.84,1019.13,4786.72
82,2024-08-21,2024-08-21,2024-08-22,1,59,Cancelled,OTA Partner,4582.16,573.88,4008.28
83,2024-08-22,2024-08-22,2024-08-24,1,61,Cancelled,App,5269.01,453.41,4815.6
84,2024-08-23,2024-08-23,2024-08-24,1,64,No-Show,Web,5574.49,926.91,4647.58
85,2024-08-24,2024-08-24,2024-08-25,1,72,Completed,App,7295.24,773.55,6521.69
86,2024-08-25,2024-08-25,2024-08-26,1,65,Completed,Walk-In,7505.71,29.16,7476.54
87,2024-08-26,2024-08-26,2024-08-27,1,66,Cancelled,App,6337.65,512.88,5824.77
88,2024-08-27,2024-08-27,2024-08-28,1,37,Completed,Walk-In,5680.39,386.01,5294.38
89,2024-08-28,2024-08-28,2024-08-29,1,70,Completed,App,5008.53,860.86,4147.66
90,2024-08-29,2024-08-29,2024-08-30,1,58,Completed,App,4932.71,598.84,4333.87
91,2024-08-30,2024-08-30,2024-09-01,1,57,Cancelled,App,5700.55,869.44,4831.11
92,2024-08-31,2024-08-31,2024-09-01,1,78,Completed,OTA Partner,5649.18,350.85,5298.33
93,2024-09-01,2024-09-01,2024-09-03,1,74,Completed,OTA Partner,6777.43,840.68,5936.75
94,2024-09-02,2024-09-02,2024-09-03,1,56,Cancelled,OTA Partner,5691.43,1080.87,4610.56
95,2024-09-03,2024-09-03,2024-09-06,1,63,Completed,Web,5633.88,878.0,4755.88
96,2024-09-04,2024-09-04,2024-09-07,1,59,Completed,App,5315.92,475.28,4840.64
97,2024-09-05,2024-09-05,2024-09-08,1,58,Completed,App,4899.08,812.75,4086.33
98,2024-09-06,2024-09-06,2024-09-08,1,64,Completed,Walk-In,6530.17,387.48,6142.68
99,2024-09-07,2024-09-07,2024-09-08,1,79,Completed,App,7193.51,647.32,6546.19
100,2024-09-08,2024-09-08,2024-09-10,1,78,Completed,OTA Partner,7404.67,1077.61,6327.06
101,2024-09-09,2024-09-09,2024-09-10,1,63,Completed,Walk-In,4893.48,147.67,4745.82
102,2024-09-10,2024-09-10,2024-09-12,1,51,Completed,Walk-In,4987.19,39.47,4947.73
103,2024-09-11,2024-09-11,2024-09-12,1,72,Completed,App,5436.83,576.0,4860.83
104,2024-09-12,2024-09-12,2024-09-14,1,60,Completed,Walk-In,5004.87,118.02,4886.85
105,2024-09-13,2024-09-13,2024-09-15,1,91,Completed,App,5538.87,911.59,4627.28
106,2024-09-14,2024-09-14,2024-09-16,1,73,Cancelled,App,7320.56,1013.33,6307.23
107,2024-09-15,2024-09-15,2024-09-16,1,66,Completed,Web,5798.08,1009.76,4788.32
108,2024-09-16,2024-09-16,2024-09-17,1,72,Completed,App,5327.14,665.82,4661.32
109,2024-09-17,2024-09-17,2024-09-20,1,66,Completed,OTA Partner,4996.81,664.08,4332.73
110,2024-09-18,2024-09-18,2024-09-19,1,72,Completed,Web,5573.14,688.04,4885.1
111,2024-09-19,2024-09-19,2024-09-20,1,60,Completed,App,5006.37,415.56,4590.81
112,2024-09-20,2024-09-20,2024-09-23,1,86,Completed,Walk-In,6565.25,98.34,6466.91
113,2024-09-21,2024-09-21,2024-09-22,1,81,Completed,Web,6115.67,519.9,5595.78
114,2024-09-22,2024-09-22,2024-09-23,1,80,Completed,OTA Partner,7490.13,709.55,6780.58
115,2024-09-23,2024-09-23,2024-09-26,1,45,Cancelled,App,5764.57,687.67,5076.89
116,2024-09-24,2024-09-24,2024-09-25,1,57,Completed,Web,5445.57,953.01,4492.56
117,2024-09-25,2024-09-25,2024-09-28,1,52,Cancelled,OTA Partner,5399.27,553.28,4845.98
118,2024-09-26,2024-09-26,2024-09-28,1,61,Completed,App,5977.02,719.12,5257.9
119,2024-09-27,2024-09-27,2024-09-28,1,77,Completed,OTA Partner,6117.98,494.35,5623.62
120,2024-09-28,2024-09-28,2024-09-30,1,58,No-Show,Walk-In,6080.65,96.23,5984.43
121,2024-09-29,2024-09-29,2024-09-30,1,82,Cancelled,Walk-In,5959.36,66.1,5893.26
122,2024-09-30,2024-09-30,2024-10-01,1,53,Completed,Walk-In,5010.21,250.7,4759.51
123,2024-10-01,2024-10-01,2024-10-03,1,65,Completed,Web,5387.89,935.3,4452.58
124,2024-10-02,2024-10-02,2024-10-05,1,57,Completed,Web,4988.41,854.35,4134.06
125,2024-10-03,2024-10-03,2024-10-04,1,67,Completed,OTA Partner,4980.45,349.89,4630.56
126,2024-10-04,2024-10-04,2024-10-05,1,74,Completed,App,5705.77,460.75,5245.03
127,2024-10-05,2024-10-05,2024-10-06,1,61,Completed,App,5764.51,549.91,5214.6
128,2024-10-06,2024-10-06,2024-10-09,1,75,Cancelled,OTA Partner,5635.67,388.55,5247.13
129,2024-10-07,2024-10-07,2024-10-09,1,65,Cancelled,OTA Partner,5346.99,454.78,4892.21
130,2024-10-08,2024-10-08,2024-10-09,1,49,Completed,OTA Partner,5349.55,929.65,4419.9
131,2024-10-09,2024-10-09,2024-10-10,1,69,Completed,App,5482.51,928.21,4554.31
132,2024-10-10,2024-10-10,2024-10-11,1,71,Completed,App,4605.61,368.69,4236.93
133,2024-10-11,2024-10-11,2024-10-13,1,79,Completed,Walk-In,5656.6,389.54,5267.06
134,2024-10-12,2024-10-12,2024-10-13,1,73,Completed,App,5917.59,918.6,4998.98
135,2024-10-13,2024-10-13,2024-10-14,1,78,Completed,Web,7083.52,650.91,6432.61
136,2024-10-14,2024-10-14,2024-10-15,1,52,Completed,OTA Partner,4774.42,388.69,4385.73
137,2024-10-15,2024-10-15,2024-10-17,1,71,Completed,App,5969.45,815.68,5153.77
138,2024-10-16,2024-10-16,2024-10-17,1,69,Cancelled,App,5703.12,733.53,4969.59
139,2024-10-17,2024-10-17,2024-10-19,1,59,Completed,OTA Partner,5041.39,363.14,4678.25
140,2024-10-18,2024-10-18,2024-10-21,1,76,Completed,App,6835.25,664.36,6170.89
141,2024-10-19,2024-10-19,2024-10-21,1,71,Cancelled,OTA Partner,5817.82,370.5,5447.32
142,2024-10-20,2024-10-20,2024-10-21,1,64,Completed,App,5627.87,934.39,4693.49
143,2024-10-21,2024-10-21,2024-10-24,1,58,Completed,Web,4910.78,829.12,4081.66
144,2024-10-22,2024-10-22,2024-10-24,1,49,Completed,App,6204.76,964.39,5240.38
145,2024-10-23,2024-10-23,2024-10-26,1,42,Completed,App,6112.38,593.11,5519.27
146,2024-10-24,2024-10-24,2024-10-25,1,61,Completed,OTA Partner,5669.51,825.97,4843.53
147,2024-10-25,2024-10-25,2024-10-28,1,59,Completed,Web,6328.38,906.95,5421.43
148,2024-10-26,2024-10-26,2024-10-28,1,88,Completed,App,6399.89,933.59,5466.3
149,2024-10-27,2024-10-27,2024-10-28,1,67,Cancelled,Web,5701.91,868.47,4833.44
150,2024-10-28,2024-10-28,2024-10-29,1,54,Completed,OTA Partner,6355.01,615.33,5739.68
151,2024-10-29,2024-10-29,2024-10-30,1,77,No-Show,OTA Partner,4577.08,409.13,4167.95
152,2024-10-30,2024-10-30,2024-11-01,1,61,Completed,App,6257.53,734.05,5523.48
153,2024-10-31,2024-10-31,2024-11-01,1,55,Completed,OTA Partner,6430.83,706.72,5724.12
154,2024-11-01,2024-11-01,2024-11-03,1,74,Cancelled,Web,7223.87,925.93,6297.94
155,2024-11-02,2024-11-02,2024-11-03,1,70,Cancelled,Web,7185.61,1176.8,6008.81
156,2024-11-03,2024-11-03,2024-11-05,1,67,Completed,App,6938.7,668.47,6270.23
157,2024-11-04,2024-11-04,2024-11-05,1,58,Completed,App,4928.65,463.11,4465.54
158,2024-11-05,2024-11-05,2024-11-08,1,57,Completed,OTA Partner,6448.83,1110.06,5338.77
159,2024-11-06,2024-11-06,2024-11-09,1,64,Cancelled,Web,5569.2,998.86,4570.34
160,2024-11-07,2024-11-07,2024-11-09,1,56,Completed,App,4735.01,407.13,4327.88
161,2024-11-08,2024-11-08,2024-11-09,1,62,Completed,OTA Partner,6360.24,1256.15,5104.09
162,2024-11-09,2024-11-09,2024-11-12,1,63,Cancelled,OTA Partner,7356.84,795.28,6561.55
163,2024-11-10,2024-11-10,2024-11-11,1,60,Completed,Web,7603.46,1144.2,6459.26
164,2024-11-11,2024-11-11,2024-11-12,1,60,Completed,Web,4654.87,735.41,3919.46
165,2024-11-12,2024-11-12,2024-11-13,1,75,Cancelled,App,4911.64,872.18,4039.46
166,2024-11-13,2024-11-13,2024-11-15,1,61,Completed,OTA Partner,4807.2,651.9,4155.3
167,2024-11-14,2024-11-14,2024-11-17,1,74,Completed,Walk-In,5735.58,396.51,5339.07
168,2024-11-15,2024-11-15,2024-11-16,1,68,Completed,App,6202.81,974.32,5228.49
169,2024-11-16,2024-11-16,2024-11-17,1,63,Completed,Walk-In,5849.6,337.83,5511.77
170,2024-11-17,2024-11-17,2024-11-20,1,88,Completed,App,6509.34,804.99,5704.35
171,2024-11-18,2024-11-18,2024-11-20,1,60,Cancelled,Web,5685.91,584.49,5101.42
172,2024-11-19,2024-11-19,2024-11-21,1,60,Cancelled,Web,6144.43,889.83,5254.6
173,2024-11-20,2024-11-20,2024-11-21,1,59,Completed,OTA Partner,5825.06,682.94,5142.12
174,2024-11-21,2024-11-21,2024-11-22,1,59,Completed,Web,4930.99,761.94,4169.05
175,2024-11-22,2024-11-22,2024-11-23,1,63,Completed,Walk-In,5571.31,426.11,5145.19
176,2024-11-23,2024-11-23,2024-11-24,1,63,Completed,Web,6981.25,680.8,6300.45
177,2024-11-24,2024-11-24,2024-11-25,1,71,Completed,App,6608.57,994.61,5613.96
178,2024-11-25,2024-11-25,2024-11-26,1,60,Completed,Walk-In,6141.11,118.28,6022.83
179,2024-11-26,2024-11-26,2024-11-27,1,52,Completed,Web,5127.69,550.1,4577.59
180,2024-11-27,2024-11-27,2024-11-29,1,59,Completed,Web,6360.01,825.49,5534.52
181,2024-11-28,2024-11-28,2024-11-29,1,63,Completed,OTA Partner,4662.31,737.47,3924.84
182,2024-11-29,2024-11-29,2024-12-01,1,69,Completed,Web,5841.42,930.54,4910.88
183,2024-11-30,2024-11-30,2024-12-02,1,84,Completed,Web,7525.58,861.41,6664.17
184,2024-12-01,2024-12-01,2024-12-03,1,66,Cancelled,App,7550.33,908.21,6642.12
185,2024-12-02,2024-12-02,2024-12-04,1,65,Completed,App,6326.57,594.73,5731.84
186,2024-12-03,2024-12-03,2024-12-04,1,69,Completed,App,5359.91,660.62,4699.3
187,2024-12-04,2024-12-04,2024-12-07,1,68,Completed,Web,4508.61,618.21,3890.41
188,2024-12-05,2024-12-05,2024-12-06,1,40,Completed,Web,5290.47,818.48,4471.99
189,2024-12-06,2024-12-06,2024-12-09,1,63,Completed,Web,6825.72,1017.31,5808.41
190,2024-12-07,2024-12-07,2024-12-08,1,70,Completed,OTA Partner,7090.79,1116.51,5974.29
191,2024-12-08,2024-12-08,2024-12-09,1,63,Completed,App,7204.42,768.01,6436.41
192,2024-12-09,2024-12-09,2024-12-10,1,55,Completed,OTA Partner,6193.34,760.6,5432.74
193,2024-12-10,2024-12-10,2024-12-11,1,64,Completed,App,6196.76,636.82,5559.94
194,2024-12-11,2024-12-11,2024-12-13,1,71,Completed,Walk-In,6061.68,455.12,5606.56
195,2024-12-12,2024-12-12,2024-12-13,1,59,Completed,Web,5998.71,652.57,5346.13
196,2024-12-13,2024-12-13,2024-12-14,1,65,Completed,Web,7167.06,1227.83,5939.24
197,2024-12-14,2024-12-14,2024-12-17,1,78,Completed,Web,7577.08,1153.11,6423.97
198,2024-12-15,2024-12-15,2024-12-17,1,75,Cancelled,OTA Partner,6283.2,439.09,5844.11
199,2024-12-16,2024-12-16,2024-12-17,1,72,Completed,OTA Partner,5816.96,300.8,5516.16
200,2024-12-17,2024-12-17,2024-12-18,1,66,Cancelled,Web,5196.55,865.28,4331.27
201,2024-12-18,2024-12-18,2024-12-21,1,58,Completed,App,6233.22,963.7,5269.52
202,2024-12-19,2024-12-19,2024-12-21,1,54,Completed,OTA Partner,4554.36,454.08,4100.29
203,2024-12-20,2024-12-20,2024-12-22,1,78,Completed,Web,5785.62,976.65,4808.98
204,2024-12-21,2024-12-21,2024-12-22,1,68,Completed,App,7485.68,847.5,6638.18
205,2024-12-22,2024-12-22,2024-12-23,1,64,Cancelled,App,7645.98,668.3,6977.68
206,2024-12-23,2024-12-23,2024-12-24,1,69,Completed,OTA Partner,5776.94,577.07,5199.86
207,2024-12-24,2024-12-24,2024-12-26,1,57,Completed,App,4807.06,502.99,4304.07
208,2024-12-25,2024-12-25,2024-12-27,1,57,Cancelled,OTA Partner,6030.05,828.11,5201.94
209,2024-12-26,2024-12-26,2024-12-28,1,73,Completed,Web,5743.72,810.06,4933.67
210,2024-12-27,2024-12-27,2024-12-28,1,61,Completed,Walk-In,6364.54,208.27,6156.27
211,2024-12-28,2024-12-28,2024-12-29,1,64,Completed,Walk-In,6598.08,401.39,6196.7
212,2024-12-29,2024-12-29,2024-12-30,1,72,Completed,OTA Partner,6730.71,370.39,6360.32
213,2024-12-30,2024-12-30,2024-12-31,1,60,Completed,Web,5401.15,529.79,4871.36
214,2024-12-31,2024-12-31,2025-01-01,1,49,Completed,Web,4564.3,625.3,3939.0
215,2025-01-01,2025-01-01,2025-01-02,1,77,Completed,Walk-In,5324.52,323.58,5000.94
216,2025-01-02,2025-01-02,2025-01-03,1,73,Completed,OTA Partner,4947.89,692.88,4255.02
217,2025-01-03,2025-01-03,2025-01-06,1,75,Completed,OTA Partner,7275.5,1129.05,6146.45
218,2025-01-04,2025-01-04,2025-01-05,1,80,Completed,App,6502.99,934.26,5568.72
219,2025-01-05,2025-01-05,2025-01-06,1,78,Cancelled,App,5755.36,949.93,4805.43
220,2025-01-06,2025-01-06,2025-01-08,1,54,Cancelled,Web,5132.72,501.47,4631.26
221,2025-01-07,2025-01-07,2025-01-09,1,55,Completed,App,6197.58,592.12,5605.47
222,2025-01-08,2025-01-08,2025-01-11,1,60,Completed,App,4522.03,442.53,4079.51
223,2025-01-09,2025-01-09,2025-01-10,1,62,Completed,App,5698.85,999.09,4699.76
224,2025-01-10,2025-01-10,2025-01-11,1,67,Completed,Web,6141.22,928.19,5213.03
225,2025-01-11,2025-01-11,2025-01-12,1,70,Completed,Walk-In,6989.63,57.48,6932.14
226,2025-01-12,2025-01-12,2025-01-14,1,74,Completed,App,6286.88,614.02,5672.86
227,2025-01-13,2025-01-13,2025-01-15,1,75,Cancelled,OTA Partner,6349.92,322.85,6027.07
228,2025-01-14,2025-01-14,2025-01-16,1,63,Completed,Web,5979.54,523.22,5456.32
229,2025-01-15,2025-01-15,2025-01-16,1,70,Completed,Web,5966.25,697.45,5268.8
230,2025-01-16,2025-01-16,2025-01-17,1,54,Completed,OTA Partner,6219.12,1170.05,5049.07
231,2025-01-17,2025-01-17,2025-01-19,1,75,Completed,App,5665.41,503.32,5162.1
232,2025-01-18,2025-01-18,2025-01-19,1,68,Completed,Web,6100.71,1003.99,5096.72
233,2025-01-19,2025-01-19,2025-01-20,1,82,Completed,OTA Partner,7398.82,443.3,6955.52
234,2025-01-20,2025-01-20,2025-01-21,1,65,Cancelled,App,5382.15,653.58,4728.57
235,2025-01-21,2025-01-21,2025-01-22,1,55,Completed,Walk-In,4717.33,5.2,4712.13
236,2025-01-22,2025-01-22,2025-01-23,1,60,Completed,OTA Partner,5687.03,916.81,4770.22
237,2025-01-23,2025-01-23,2025-01-25,1,59,Completed,OTA Partner,5702.75,398.83,5303.92
238,2025-01-24,2025-01-24,2025-01-25,1,75,Cancelled,OTA Partner,6360.05,383.33,5976.72
239,2025-01-25,2025-01-25,2025-01-26,1,71,Completed,App,6430.71,598.65,5832.06
240,2025-01-26,2025-01-26,2025-01-27,1,90,Cancelled,Web,6309.83,1091.67,5218.16
241,2025-01-27,2025-01-27,2025-01-28,1,85,Completed,Web,5058.97,837.5,4221.47
242,2025-01-28,2025-01-28,2025-01-30,1,53,Completed,App,5860.07,575.06,5285.01
243,2025-01-29,2025-01-29,2025-01-31,1,55,Completed,App,5222.6,863.1,4359.5
244,2025-01-30,2025-01-30,2025-01-31,1,54,Cancelled,App,5489.2,507.17,4982.03
245,2025-01-31,2025-01-31,2025-02-01,1,78,Completed,OTA Partner,6986.45,834.86,6151.59
246,2025-02-01,2025-02-01,2025-02-02,1,62,Completed,Web,5343.33,923.15,4420.18
247,2025-02-02,2025-02-02,2025-02-03,1,50,Completed,App,5969.28,592.71,5376.56
248,2025-02-03,2025-02-03,2025-02-05,1,58,Cancelled,App,4550.41,456.0,4094.41
249,2025-02-04,2025-02-04,2025-02-05,1,61,Completed,App,6188.54,1049.27,5139.27
250,2025-02-05,2025-02-05,2025-02-06,1,67,Completed,App,6488.54,1018.76,5469.78
251,2025-02-06,2025-02-06,2025-02-07,1,64,Completed,OTA Partner,6213.72,882.81,5330.91
252,2025-02-07,2025-02-07,2025-02-10,1,51,Completed,App,7385.41,790.49,6594.92
253,2025-02-08,2025-02-08,2025-02-09,1,70,Completed,Web,6496.32,618.32,5878.0
254,2025-02-09,2025-02-09,2025-02-10,1,73,Completed,OTA Partner,7161.94,778.29,6383.66
255,2025-02-10,2025-02-10,2025-02-12,1,61,Completed,OTA Partner,6359.2,1049.96,5309.24
256,2025-02-11,2025-02-11,2025-02-12,1,45,Cancelled,OTA Partner,5524.49,955.92,4568.56
257,2025-02-12,2025-02-12,2025-02-13,1,76,Completed,App,5936.12,737.66,5198.47
258,2025-02-13,2025-02-13,2025-02-16,1,60,Completed,Web,4728.04,817.78,3910.26
259,2025-02-14,2025-02-14,2025-02-16,1,67,Completed,Web,7430.17,782.63,6647.54
260,2025-02-15,2025-02-15,2025-02-17,1,56,Completed,Walk-In,5531.89,420.36,5111.53
261,2025-02-16,2025-02-16,2025-02-17,1,83,Completed,App,6010.61,517.29,5493.32
262,2025-02-17,2025-02-17,2025-02-18,1,55,Completed,App,5276.31,604.34,4671.97
263,2025-02-18,2025-02-18,2025-02-19,1,67,Completed,Web,6319.6,1007.14,5312.46
264,2025-02-19,2025-02-19,2025-02-20,1,59,Completed,OTA Partner,5624.02,1013.01,4611.01
265,2025-02-20,2025-02-20,2025-02-21,1,66,Completed,Walk-In,6184.91,430.0,5754.91
266,2025-02-21,2025-02-21,2025-02-22,1,73,Completed,OTA Partner,5753.93,1014.43,4739.5
267,2025-02-22,2025-02-22,2025-02-23,1,79,Completed,App,6750.83,747.74,6003.09
268,2025-02-23,2025-02-23,2025-02-24,1,51,Completed,Walk-In,6423.07,249.75,6173.32
269,2025-02-24,2025-02-24,2025-02-25,1,57,Completed,Web,6490.02,570.31,5919.71
270,2025-02-25,2025-02-25,2025-02-28,1,53,Cancelled,App,6028.15,781.42,5246.73
271,2025-02-26,2025-02-26,2025-02-27,1,38,Cancelled,Web,5025.46,897.56,4127.9
272,2025-02-27,2025-02-27,2025-02-28,1,53,Completed,Web,6153.52,577.56,5575.97
273,2025-02-28,2025-02-28,2025-03-02,1,77,Completed,Web,5711.95,496.45,5215.51
274,2024-06-01,2024-06-01,2024-06-02,2,37,Completed,App,5519.87,454.7,5065.17
275,2024-06-02,2024-06-02,2024-06-05,2,49,Completed,Web,6463.8,840.72,5623.08
276,2024-06-03,2024-06-03,2024-06-04,2,22,Completed,OTA Partner,5026.63,380.32,4646.32
277,2024-06-04,2024-06-04,2024-06-06,2,34,Completed,App,4799.88,802.59,3997.29
278,2024-06-05,2024-06-05,2024-06-08,2,27,Completed,OTA Partner,4517.23,817.53,3699.7
279,2024-06-06,2024-06-06,2024-06-07,2,24,No-Show,OTA Partner,5690.38,387.13,5303.24
280,2024-06-07,2024-06-07,2024-06-08,2,32,Completed,Web,7416.4,1190.9,6225.49
